Gene_ID	module
AgateH2.01G035200	firebrick4
AgateH2.01G035400	blue
AgateH2.01G035500	brown
AgateH2.01G035600	violet
AgateH2.01G035800	orangered4
AgateH2.01G035900	blue2
AgateH2.01G036100	darkorange2
AgateH2.01G036200	black
AgateH2.01G036300	black
AgateH2.01G036500	darkturquoise
AgateH2.01G036600	firebrick3
AgateH2.01G036700	yellowgreen
AgateH2.01G036900	red
AgateH2.01G037100	orangered4
AgateH2.01G037200	orangered4
AgateH2.01G037300	blue
AgateH2.01G037400	brown
AgateH2.01G037500	magenta
AgateH2.01G037600	blue
AgateH2.01G037700	antiquewhite4
AgateH2.01G037800	salmon2
AgateH2.01G037900	saddlebrown
AgateH2.01G038400	grey60
AgateH2.01G038500	orangered4
AgateH2.01G038600	greenyellow
AgateH2.01G038900	purple
AgateH2.01G039000	grey60
AgateH2.01G039100	lightcyan
AgateH2.01G039200	darkorange2
AgateH2.01G039300	royalblue
AgateH2.01G039400	darkorange2
AgateH2.01G039500	floralwhite
AgateH2.01G039700	blue
AgateH2.01G039900	floralwhite
AgateH2.01G040000	magenta4
AgateH2.01G040100	magenta4
AgateH2.01G040200	darkgrey
AgateH2.01G040300	lightslateblue
AgateH2.01G040500	white
AgateH2.01G040600	red
AgateH2.01G040700	lightslateblue
AgateH2.01G041200	violet
AgateH2.01G041400	ivory
AgateH2.01G041500	brown
AgateH2.01G041800	saddlebrown
AgateH2.01G042000	darkgreen
AgateH2.01G042300	coral1
AgateH2.01G042500	lightcyan
AgateH2.01G042600	magenta4
AgateH2.01G042900	sienna3
AgateH2.01G043000	darkseagreen4
AgateH2.01G043200	skyblue4
AgateH2.01G043300	maroon
AgateH2.01G043400	lightcyan
AgateH2.01G043800	magenta
AgateH2.01G043900	darkorange2
AgateH2.01G044000	green
AgateH2.01G044100	mediumpurple3
AgateH2.01G044200	darkseagreen4
AgateH2.01G044500	sienna3
AgateH2.01G044600	brown
AgateH2.01G044700	firebrick3
AgateH2.01G044800	darkslateblue
AgateH2.01G044900	darkorange2
AgateH2.01G045100	sienna3
AgateH2.01G045200	floralwhite
AgateH2.01G045500	grey60
AgateH2.01G046000	black
AgateH2.01G046200	lightslateblue
AgateH2.01G046600	firebrick4
AgateH2.01G047100	violet
AgateH2.01G047200	green
AgateH2.01G047400	white
AgateH2.01G047500	orangered4
AgateH2.01G047600	darkgreen
AgateH2.01G047700	brown2
AgateH2.01G047800	darkred
AgateH2.01G048100	sienna3
AgateH2.01G048300	saddlebrown
AgateH2.01G048500	blue2
AgateH2.01G048700	mediumpurple2
AgateH2.01G048800	coral1
AgateH2.01G049200	blue
AgateH2.01G049300	sienna3
AgateH2.01G049400	blue
AgateH2.01G049500	lavenderblush3
AgateH2.01G049700	coral1
AgateH2.01G049800	orangered4
AgateH2.01G049900	green
AgateH2.01G050300	maroon
AgateH2.01G050400	saddlebrown
AgateH2.01G050500	magenta4
AgateH2.01G050600	magenta4
AgateH2.01G050900	purple
AgateH2.01G051000	maroon
