Gene_ID	module	ID
AT5G42760	indianred4	AT007
AT1G74160	indianred4	AT007
AT4G38950	indianred4	AT007
AT5G39710	indianred4	AT007
AT3G52360	indianred4	AT007
AT1G22140	indianred4	AT007
AT2G30766	indianred4	AT007
AT3G56300	indianred4	AT007
AT5G09330	indianred4	AT007
AT2G33855	indianred4	AT007
AT5G59610	indianred4	AT007
AT4G05450	indianred4	AT007
AT1G31300	indianred4	AT007
AT3G26430	indianred4	AT007
AT2G46400	indianred4	AT007
AT5G01850	indianred4	AT007
AT2G44670	indianred4	AT007
AT5G10970	indianred4	AT007
AT4G34610	indianred4	AT007
AT5G67160	indianred4	AT007
AT1G32240	indianred4	AT007
AT1G64140	indianred4	AT007
AT4G35450	indianred4	AT007
AT4G09180	indianred4	AT007
AT2G17220	indianred4	AT007
AT2G39440	indianred4	AT007
AT5G59350	indianred4	AT007
AT1G15410	indianred4	AT007
AT1G04770	indianred4	AT007
AT1G79810	indianred4	AT007
AT2G30760	indianred4	AT007
AT5G17400	indianred4	AT007
AT2G20280	indianred4	AT007
AT2G35920	indianred4	AT007
AT3G43540	indianred4	AT007
AT5G23760	indianred4	AT007
AT4G23250	indianred4	AT007
AT1G70250	indianred4	AT007
AT1G35290	indianred4	AT007
AT1G60270	indianred4	AT007
AT5G49100	indianred4	AT007
AT2G23430	indianred4	AT007
AT1G19100	indianred4	AT007
AT5G53050	indianred4	AT007
AT2G29450	indianred4	AT007
AT4G37650	indianred4	AT007
AT3G60910	indianred4	AT007
AT1G23980	indianred4	AT007
AT3G59670	indianred4	AT007
AT1G50732	indianred4	AT007
AT4G24700	indianred4	AT007
AT1G12830	indianred4	AT007
AT5G62130	indianred4	AT007
AT4G12990	indianred4	AT007
AT4G37590	indianred4	AT007
AT2G35130	indianred4	AT007
AT4G35290	indianred4	AT007
AT2G43340	indianred4	AT007
AT4G27595	indianred4	AT007
AT4G23770	indianred4	AT007
AT1G61140	indianred4	AT007
AT2G28540	indianred4	AT007
AT5G10380	indianred4	AT007
AT5G59790	indianred4	AT007
AT4G40040	magenta4	AT048
AT3G01960	magenta4	AT048
AT5G64180	magenta4	AT048
AT1G68020	magenta4	AT048
AT5G13200	magenta4	AT048
AT1G09770	magenta4	AT048
AT3G11100	magenta4	AT048
AT4G32000	magenta4	AT048
AT3G11730	magenta4	AT048
AT4G29190	magenta4	AT048
AT3G01540	magenta4	AT048
AT2G32090	magenta4	AT048
AT5G39510	magenta4	AT048
AT1G01860	magenta4	AT048
AT3G20720	magenta4	AT048
AT2G46170	magenta4	AT048
AT1G20190	magenta4	AT048
AT2G23120	magenta4	AT048
AT5G64240	magenta4	AT048
