Gene_ID	module	ID
AT5G47900	bisque4	AT033
AT4G08700	bisque4	AT033
AT1G06980	bisque4	AT033
AT5G25995	bisque4	AT033
AT4G00560	bisque4	AT033
AT1G20450	bisque4	AT033
AT1G60860	bisque4	AT033
AT3G05640	bisque4	AT033
AT2G41200	bisque4	AT033
AT3G59410	bisque4	AT033
AT2G32760	bisque4	AT033
AT1G74430	bisque4	AT033
AT1G28310	bisque4	AT033
AT3G52890	bisque4	AT033
AT2G04540	bisque4	AT033
AT3G18910	bisque4	AT033
AT3G24100	bisque4	AT033
AT1G22180	bisque4	AT033
AT1G76180	bisque4	AT033
AT5G07700	bisque4	AT033
AT2G30350	bisque4	AT033
AT1G22250	bisque4	AT033
AT3G18850	bisque4	AT033
AT3G48185	bisque4	AT033
AT4G25520	bisque4	AT033
AT3G09150	bisque4	AT033
AT2G01520	bisque4	AT033
AT1G51100	bisque4	AT033
AT5G13870	bisque4	AT033
AT2G44140	bisque4	AT033
AT1G67590	bisque4	AT033
AT1G13450	bisque4	AT033
AT2G40300	blue	AT047
AT4G32330	blue	AT047
AT2G43680	blue	AT047
AT5G27210	blue	AT047
AT2G46900	blue	AT047
AT4G39560	blue	AT047
AT4G28600	blue	AT047
AT1G53690	blue	AT047
AT3G07220	blue	AT047
AT2G01490	blue	AT047
AT3G56170	blue	AT047
AT5G67420	blue	AT047
AT1G80930	blue	AT047
AT5G22050	blue	AT047
AT4G27320	blue	AT047
AT3G02720	blue	AT047
AT2G46910	blue	AT047
AT5G49430	blue	AT047
AT1G59830	blue	AT047
AT3G47470	blue	AT047
AT1G73920	blue	AT047
AT4G16420	blue	AT047
AT1G10410	blue	AT047
AT1G53590	blue	AT047
AT1G44910	blue	AT047
AT3G22970	blue	AT047
AT5G18050	blue	AT047
AT3G53030	blue	AT047
AT4G38940	blue	AT047
AT1G02350	blue	AT047
AT3G26290	blue	AT047
AT1G26450	blue	AT047
AT1G19010	blue	AT047
AT4G17460	blue	AT047
AT1G60940	blue	AT047
AT5G66590	blue	AT047
AT5G28919	blue	AT047
AT1G32750	blue	AT047
AT5G08415	blue	AT047
AT1G25480	blue	AT047
AT4G14920	blue	AT047
AT4G35160	blue	AT047
AT2G25080	blue	AT047
AT3G26640	blue	AT047
AT2G45820	blue	AT047
AT1G18150	blue	AT047
AT3G50000	blue	AT047
AT2G45730	blue	AT047
AT2G22820	blue	AT047
AT2G39130	blue	AT047
AT2G35650	blue	AT047
AT1G10940	blue	AT047
AT1G17520	blue	AT047
AT5G47430	blue	AT047
AT3G10250	blue	AT047
AT3G29760	blue	AT047
AT4G15130	blue	AT047
AT4G04885	blue	AT047
AT2G32100	blue	AT047
AT2G28290	blue	AT047
AT5G18060	blue	AT047
AT5G05930	blue	AT047
AT1G22730	blue	AT047
AT5G28830	blue	AT047
AT3G59780	blue	AT047
AT5G06210	blue	AT047
AT3G22980	blue	AT047
AT2G24692	blue	AT047
AT5G57340	blue	AT047
AT1G02340	blue	AT047
AT1G78170	blue	AT047
AT4G13270	blue	AT047
AT5G38220	blue	AT047
AT3G54900	blue	AT047
AT4G35110	blue	AT047
AT4G37300	blue	AT047
AT4G28570	blue	AT047
AT4G21160	blue	AT047
AT1G67920	blue	AT047
AT3G59770	blue	AT047
AT3G33520	blue	AT047
AT1G26920	blue	AT047
AT1G24405	blue	AT047
AT5G39190	blue	AT047
AT3G21430	blue	AT047
AT3G58630	blue	AT047
AT3G12510	blue	AT047
AT5G09220	blue	AT047
AT1G75690	blue	AT047
AT3G45600	blue	AT047
AT4G17640	blue	AT047
AT3G24350	blue	AT047
AT1G15340	blue	AT047
AT5G65480	blue	AT047
AT3G19895	blue	AT047
AT3G10060	blue	AT047
AT1G51550	blue	AT047
AT2G06025	blue	AT047
AT2G46820	blue	AT047
AT1G12050	blue	AT047
AT4G32280	blue	AT047
AT1G04970	blue	AT047
AT5G09410	blue	AT047
AT3G48100	blue	AT047
AT2G05230	blue	AT047
AT1G74730	blue	AT047
AT5G04940	blue	AT047
AT5G44180	blue	AT047
AT3G09670	blue	AT047
AT1G04070	blue	AT047
AT1G42540	blue	AT047
AT5G38590	blue	AT047
AT3G20070	blue	AT047
AT1G12860	blue	AT047
AT1G18360	blue	AT047
AT4G32460	blue	AT047
AT2G18630	blue	AT047
AT4G29110	blue	AT047
AT2G45590	blue	AT047
AT1G06060	blue	AT047
AT2G38025	blue	AT047
AT4G38910	blue	AT047
AT2G41540	blue	AT047
AT1G64710	blue	AT047
AT1G51720	blue	AT047
AT2G43760	blue	AT047
AT1G04780	blue	AT047
AT3G52910	blue	AT047
AT2G27150	blue	AT047
AT3G55240	blue	AT047
AT1G06070	blue	AT047
AT1G78850	blue	AT047
AT1G54130	blue	AT047
AT5G43460	blue	AT047
AT3G30840	blue	AT047
AT2G26460	blue	AT047
AT2G26430	blue	AT047
AT4G18390	blue	AT047
AT5G49950	blue	AT047
AT4G39420	blue	AT047
AT5G11710	blue	AT047
AT1G33250	blue	AT047
AT1G26945	blue	AT047
AT2G22540	blue	AT047
AT4G33960	blue	AT047
AT4G16535	blue	AT047
AT5G55510	blue	AT047
AT3G51650	blue	AT047
AT5G59950	blue	AT047
AT1G51110	blue	AT047
AT3G14230	blue	AT047
AT2G18570	blue	AT047
AT2G22740	blue	AT047
AT1G75540	blue	AT047
AT4G03430	blue	AT047
AT1G69450	blue	AT047
AT1G43860	blue	AT047
AT1G27210	blue	AT047
AT5G44250	blue	AT047
AT5G04490	blue	AT047
AT2G41020	blue	AT047
AT2G46530	blue	AT047
AT1G18300	blue	AT047
AT1G67210	blue	AT047
AT2G40880	blue	AT047
AT5G35330	blue	AT047
AT1G68920	blue	AT047
AT4G23860	blue	AT047
AT2G36985	blue	AT047
AT1G30090	blue	AT047
AT1G72820	blue	AT047
AT3G17470	blue	AT047
AT1G63310	blue	AT047
AT5G37715	blue	AT047
AT3G42790	blue	AT047
AT2G18890	blue	AT047
AT3G01460	blue	AT047
AT4G28750	blue	AT047
AT5G20170	blue	AT047
AT4G36730	blue	AT047
AT2G17540	blue	AT047
AT3G11450	blue	AT047
AT2G14910	blue	AT047
AT4G34460	blue	AT047
AT3G02065	blue	AT047
AT1G50280	blue	AT047
AT4G23920	blue	AT047
AT3G55770	blue	AT047
AT1G79590	blue	AT047
AT1G10870	blue	AT047
AT1G24340	blue	AT047
AT4G10340	blue	AT047
AT2G04550	blue	AT047
AT5G39530	blue	AT047
AT1G32540	blue	AT047
AT1G31930	blue	AT047
AT1G18950	blue	AT047
AT5G35180	blue	AT047
AT3G26280	blue	AT047
AT1G66180	blue	AT047
AT5G19940	blue	AT047
AT1G31175	blue	AT047
AT5G62580	blue	AT047
AT5G08320	blue	AT047
AT1G15430	blue	AT047
AT1G64230	blue	AT047
AT3G07780	blue	AT047
AT4G38690	blue	AT047
AT3G04740	blue	AT047
AT5G07840	blue	AT047
AT3G15120	blue	AT047
AT1G02280	blue	AT047
AT1G73500	blue	AT047
AT3G52260	blue	AT047
AT1G49320	blue	AT047
AT2G40970	blue	AT047
AT1G71710	blue	AT047
AT5G48590	blue	AT047
AT2G31260	blue	AT047
AT4G35485	blue	AT047
AT5G45300	blue	AT047
AT1G47330	blue	AT047
AT4G28860	blue	AT047
AT4G32300	blue	AT047
AT1G32410	blue	AT047
AT3G51990	blue	AT047
AT4G27700	blue	AT047
AT2G29995	blue	AT047
AT5G22270	blue	AT047
AT2G01930	blue	AT047
AT5G64040	blue	AT047
AT2G20210	blue	AT047
AT1G68160	blue	AT047
AT2G20180	blue	AT047
AT1G65280	blue	AT047
AT5G56100	blue	AT047
AT3G03840	blue	AT047
AT5G11420	blue	AT047
AT4G31410	blue	AT047
AT5G15330	blue	AT047
AT5G41810	blue	AT047
AT1G64720	blue	AT047
AT5G61140	blue	AT047
AT4G00231	blue	AT047
AT3G03340	blue	AT047
AT1G52380	blue	AT047
AT1G36980	blue	AT047
AT1G21700	blue	AT047
AT4G33660	blue	AT047
AT5G03230	blue	AT047
AT2G41980	blue	AT047
AT5G19025	blue	AT047
AT4G23290	blue	AT047
AT2G42030	blue	AT047
AT3G08940	blue	AT047
AT4G23500	blue	AT047
AT3G60390	blue	AT047
AT4G13830	blue	AT047
AT4G38890	blue	AT047
AT1G67400	blue	AT047
AT1G08845	blue	AT047
AT1G19910	blue	AT047
AT2G42220	blue	AT047
AT3G57090	blue	AT047
AT3G62950	blue	AT047
AT5G09390	blue	AT047
AT4G02260	blue	AT047
AT2G42320	blue	AT047
AT5G44100	blue	AT047
AT4G36890	blue	AT047
AT2G42300	blue	AT047
AT1G32570	blue	AT047
AT3G10405	blue	AT047
AT2G25050	blue	AT047
AT5G40981	blue	AT047
AT1G52230	blue	AT047
AT1G75510	blue	AT047
AT3G19660	blue	AT047
AT2G22090	blue	AT047
AT3G03830	blue	AT047
AT1G54820	blue	AT047
AT5G40500	blue	AT047
AT3G02255	blue	AT047
AT3G60830	blue	AT047
AT5G40630	blue	AT047
AT4G07825	blue	AT047
AT1G09280	blue	AT047
AT1G33980	blue	AT047
AT2G40420	blue	AT047
AT1G76360	blue	AT047
AT1G32190	blue	AT047
AT1G06080	blue	AT047
AT3G15570	blue	AT047
AT1G73480	blue	AT047
AT5G16030	blue	AT047
AT3G01920	blue	AT047
AT3G60360	blue	AT047
AT5G55790	blue	AT047
AT4G24020	blue	AT047
AT5G49400	blue	AT047
AT3G04110	blue	AT047
AT1G80630	blue	AT047
AT3G61710	blue	AT047
AT1G04960	blue	AT047
AT1G20670	blue	AT047
AT3G15770	blue	AT047
AT1G18193	blue	AT047
AT3G15353	blue	AT047
AT4G22850	blue	AT047
AT2G25605	blue	AT047
AT2G32040	blue	AT047
AT2G39010	blue	AT047
AT1G65260	blue	AT047
AT4G02770	blue	AT047
AT5G27320	blue	AT047
AT3G16450	blue	AT047
AT4G20330	blue	AT047
AT4G21180	blue	AT047
AT3G20820	blue	AT047
AT5G13950	blue	AT047
AT1G53580	blue	AT047
AT1G29930	blue	AT047
AT1G08030	blue	AT047
AT5G66160	blue	AT047
AT5G67390	blue	AT047
AT5G16520	blue	AT047
AT3G16640	blue	AT047
AT2G03070	blue	AT047
AT2G24550	blue	AT047
AT3G47000	blue	AT047
AT3G51760	blue	AT047
AT2G03240	blue	AT047
AT1G78870	blue	AT047
AT5G65840	blue	AT047
AT1G35190	blue	AT047
AT1G67865	blue	AT047
AT3G01890	blue	AT047
AT4G36650	blue	AT047
AT5G65900	blue	AT047
AT2G13370	blue	AT047
AT4G38850	blue	AT047
AT1G28960	blue	AT047
AT5G58720	blue	AT047
AT1G76490	blue	AT047
AT5G45360	blue	AT047
AT1G74840	blue	AT047
AT1G03130	blue	AT047
AT5G44080	blue	AT047
AT1G10150	blue	AT047
AT5G22280	blue	AT047
AT2G30780	blue	AT047
AT1G51402	blue	AT047
AT4G14990	blue	AT047
AT1G27695	blue	AT047
AT1G58235	blue	AT047
AT3G17070	blue	AT047
AT3G09850	blue	AT047
AT3G55480	blue	AT047
AT4G02880	blue	AT047
AT3G56130	blue	AT047
AT1G79790	blue	AT047
AT1G67050	blue	AT047
AT3G49650	blue	AT047
AT5G50340	blue	AT047
AT2G03820	blue	AT047
AT1G30610	blue	AT047
AT4G09830	blue	AT047
AT3G58790	blue	AT047
AT4G09760	blue	AT047
AT1G06045	blue	AT047
AT3G04730	blue	AT047
AT1G74660	blue	AT047
AT2G06520	blue	AT047
AT5G05700	blue	AT047
AT5G05735	blue	AT047
AT3G29330	blue	AT047
AT2G30570	blue	AT047
AT3G62220	blue	AT047
AT5G55660	blue	AT047
AT1G28120	blue	AT047
AT2G43920	blue	AT047
AT5G26910	blue	AT047
AT1G78210	blue	AT047
AT1G75950	blue	AT047
AT1G14580	blue	AT047
AT5G18240	blue	AT047
AT3G06910	blue	AT047
AT3G47500	blue	AT047
AT4G27710	blue	AT047
AT4G10130	blue	AT047
AT1G14650	blue	AT047
AT1G69340	blue	AT047
AT1G56010	blue	AT047
AT2G03667	blue	AT047
AT5G18760	blue	AT047
AT5G04810	blue	AT047
AT3G62499	blue	AT047
AT1G18330	blue	AT047
AT5G27620	blue	AT047
AT2G38530	blue	AT047
AT5G54145	blue	AT047
AT3G57340	blue	AT047
AT2G31440	blue	AT047
AT5G03520	blue	AT047
AT3G55580	blue	AT047
AT5G54200	blue	AT047
AT5G42520	blue	AT047
AT1G20340	blue	AT047
AT4G29905	blue	AT047
AT1G32130	blue	AT047
AT5G05690	blue	AT047
AT3G62290	blue	AT047
AT2G22990	blue	AT047
AT3G50685	blue	AT047
AT4G34730	blue	AT047
AT5G16630	blue	AT047
AT5G57000	blue	AT047
AT1G75900	blue	AT047
AT5G01430	blue	AT047
AT1G18020	blue	AT047
AT5G64330	blue	AT047
AT5G20740	blue	AT047
AT4G36030	blue	AT047
AT1G03530	blue	AT047
AT1G80790	blue	AT047
AT1G71240	blue	AT047
AT3G50840	blue	AT047
AT5G42250	blue	AT047
AT2G36060	blue	AT047
AT1G79040	blue	AT047
AT4G03400	blue	AT047
AT4G31805	blue	AT047
AT2G45980	blue	AT047
AT1G16490	blue	AT047
AT2G35510	blue	AT047
AT1G15820	blue	AT047
AT5G58320	blue	AT047
